time,x,y,z,x_velocity,y_velocity,z_velocity
171,120.565005479,150.0,135.770285787,16.7239605627,41.3267570841,31.7945914427
172,121.243203535,150.0,136.423301067,17.9665922215,42.5679260837,33.1735944709
173,102.73745093,25.7317674922,0.0,-17.8813890766,213.687537285,-1154.55809972
174,104.451815859,150.0,146.887375349,31.1576314746,145.999787145,93.9266334831
175,150.0,61.7389337061,58.5371850953,11.0386446007,8.66270557337,-40.3665534021
176,150.0,141.047427797,194.03830743,6.12384870432,0.882853030353,30.45991077
177,143.847314294,150.0,166.844671612,7.31255758791,14.296740013,27.8739689142
178,148.317783991,150.0,171.813264986,9.69473488945,10.8817968611,28.5341210754
179,150.0,144.6727661,163.877928015,13.8500001537,8.65482523344,28.2919977913
180,141.953789099,150.0,193.559264731,0.779435315158,5.23843910733,30.7532924923
181,150.0,149.683750483,157.780683678,14.5683813897,14.9330724872,24.8371544796
182,143.557933823,150.0,159.042770487,10.4336544229,15.7400080977,26.4918501695
183,150.0,143.569143073,182.990943757,8.6018967954,4.26865998078,30.111513906
184,145.459640383,150.0,172.883251616,7.7821984661,13.2518209396,27.5639564684
185,139.096424293,150.0,166.365678668,4.18938948558,14.3369296766,28.9936238114
186,150.0,140.323670131,173.35054205,9.98128199553,4.32019706168,30.4929652269
187,150.0,145.145930595,177.869567181,10.0786920629,6.61531436153,29.1890031587
188,140.960736904,150.0,172.859239113,3.41607038091,12.2401510576,29.6522403819
189,150.0,147.753840207,176.682868273,9.49265640823,7.34276851208,29.6193401622
190,150.0,150.0,182.032447809,8.90694611234,9.93153662343,28.1228698394
191,147.138946611,150.0,165.089666167,11.3117731521,11.5466902324,28.0983401834
192,150.0,150.0,172.739810347,11.099830509,12.4802051453,26.5134095344
193,150.0,149.089783574,173.477335843,11.4960889541,9.52959958484,27.9395014284
194,150.0,142.260486687,169.909586409,13.8746919579,6.72188834115,27.8244416653
195,144.914410464,150.0,163.674235749,10.1051526718,14.3980170743,26.94790406
196,142.490564668,150.0,169.739854492,6.62471797404,13.3317201997,28.1814850613
197,150.0,143.875476857,186.962586229,7.30867538742,3.96484807543,30.1532868235
198,150.0,147.301935088,189.735950464,6.96447241457,4.47637887514,30.0467164628
199,133.513777049,148.627019163,217.740104454,-8.22142300367,0.865783174189,29.5035227725
200,150.0,145.966208394,163.246336839,14.2019668287,9.91757569439,27.417787282
201,143.300797141,150.0,169.397988957,7.42813227733,13.1709480217,28.22104805
202,150.0,149.287368863,175.730805544,11.2871271526,9.37919263998,27.8965572696
203,150.0,148.961085646,180.61798792,9.40886966558,8.38786292242,28.5881261534
204,149.579164739,150.0,188.84823928,6.66527273816,7.35825702816,29.3494998115
205,150.0,146.977460108,169.963961249,11.2635220429,10.5686239018,28.0271217866
206,145.238190137,150.0,170.642373776,7.8625833469,12.9838357702,28.1236043081
207,150.0,142.075585501,172.36504007,12.179677193,6.02413172716,28.7903375661
208,150.0,148.253221948,173.735516451,11.6283597405,10.595489454,27.1273654017
209,150.0,149.89831158,180.226570359,9.16842003778,9.7728718549,28.2864689247
210,144.427375523,150.0,193.164000585,3.57323006576,5.62269489496,30.4178397758
211,150.0,138.748420128,194.428082515,6.02780185671,-0.570256187309,30.3836975949
212,150.0,149.432258521,171.129680077,11.7793587945,10.9076550248,27.5384298535
213,150.0,143.136353309,169.669979585,12.5571146282,6.45210486408,28.9753540746
214,150.0,149.425917938,168.553608219,12.5554764254,12.085867798,26.6691308632
215,150.0,149.567147914,171.169926692,10.6004205024,11.5329736005,27.8190584438
216,150.0,149.601774398,182.451684626,8.60731985645,8.40538082252,28.9265412143
217,149.740460706,150.0,208.835248486,1.58292782897,7.23037622048,29.1432527551
218,144.042905047,150.0,176.176000351,6.1266605643,10.3950101195,29.4105379638
219,150.0,148.296993591,178.497006984,10.1758347083,8.2758849762,28.4795573273
220,150.0,150.0,162.855808352,13.0638410397,14.5597191014,25.408329499
221,145.514701161,150.0,163.396910355,10.6959193918,13.4387963355,27.5047149493
222,145.594939782,150.0,179.712198099,7.22991715787,10.5230063851,28.4396317119
223,150.0,143.476734808,176.388653845,10.3144277769,5.68007256012,29.7180772652
224,150.0,146.349715844,165.356699824,14.3684785131,10.1987877287,26.6394292492
225,150.0,144.554164145,196.898600673,6.44041296174,0.448878318257,30.4226246312
226,150.0,147.371800763,203.912232061,4.5163131964,1.03780816268,30.4586296677
227,139.189548582,150.0,173.505475615,3.56267235654,12.2689862183,29.3176959009
228,150.0,142.764672911,176.408087365,10.9376392471,6.15119930832,28.9438807182
229,146.99439813,150.0,183.553735754,5.98484903895,8.62714129341,29.5935999428
230,148.041596872,150.0,166.713862615,12.0334856903,13.0469655972,26.6401288827
231,148.612951948,150.0,171.304134643,9.64149380034,10.8093660262,28.5636557047
232,150.0,142.581070235,174.309300026,11.859494221,5.1542116651,29.0388681397
233,142.92009109,146.441600206,216.942710862,-1.30507168031,1.70777447793,29.7740770196
234,150.0,148.84040944,155.332711918,16.2166424271,13.4303103345,25.1488558374
235,147.85825706,147.312704427,216.091177116,2.07948976146,0.403715314691,30.0796149946
236,150.0,149.709835369,165.548064148,14.0592178581,12.3463801964,25.7655507784
237,150.0,141.820828765,170.113144516,14.2333553444,6.69217990072,27.4907404722
238,150.0,144.588857836,173.610538949,12.0993643427,6.19004348639,29.0132402201
239,145.463948482,150.0,175.56595659,7.10618612329,8.80977251345,29.9970400464
240,146.141406988,149.974264445,215.406501531,0.985749608408,2.11378968254,29.8063052347
241,150.0,135.179664482,201.33722999,5.35226174154,-1.77074960685,29.9573491095
242,150.0,141.956405718,165.20968723,14.0611213321,6.76846749311,28.4567636456
243,150.0,140.569563444,175.045135292,12.0631135559,2.66239082708,29.4975543322
244,146.211034835,150.0,174.92833924,7.5690970553,11.0985594876,28.8432986043
245,141.335114046,150.0,159.970799636,7.62948910525,17.4118697764,26.4539174986
246,150.0,139.827042177,168.860947839,12.9234296187,6.22872599145,28.6944181289
247,149.647205091,150.0,168.451205692,11.2184555325,12.8802087314,26.8905024302
248,150.0,140.135584879,163.227062445,16.4570625647,6.43033009329,26.9501676058
249,150.0,144.90879251,165.857640269,14.8511721135,9.63240269581,26.4307224388
250,142.412436619,150.0,185.395916509,2.4936273513,8.20300546798,30.367620359
251,139.13326309,150.0,184.345201641,2.03755890661,9.36912975625,29.8056253322
252,149.487400942,139.47503509,217.161902258,2.47777504007,-3.28696573372,29.9032376423
253,145.899582899,150.0,190.572663952,3.94924082725,6.3441690487,30.4081663172
254,150.0,147.521606975,166.89952102,14.1620738262,11.6275375462,25.5822798009
255,150.0,148.255587352,156.18987071,15.0817128128,14.5174913234,25.0075927633
256,147.497622582,150.0,167.119248832,9.83677167156,13.2004007253,27.5737875724
257,150.0,143.345938561,182.625508052,11.015014133,3.73411858836,28.9831416842
258,150.0,140.904012014,165.6527003,14.1178862716,7.50503691714,28.0713441629
259,150.0,146.641863408,183.731416488,9.01649193732,5.90179994934,29.3277375549
260,142.619466547,150.0,167.263561392,6.86825994559,13.8307074673,28.4862489439
261,145.924122999,150.0,170.187174484,9.06745222137,13.5798556505,27.1623311592
262,149.980682756,150.0,173.107765878,9.14930959838,12.2170869571,27.8459315162
263,150.0,148.088390577,183.124991039,10.1305492214,6.82197193118,28.6826187449
264,150.0,148.865713333,169.179994588,11.7461969869,10.4793158016,28.0646789926
265,150.0,150.0,175.313620018,10.816671726,10.4839997619,27.7800708036
266,150.0,148.137046098,166.952609816,12.1472471948,11.0517335013,27.7257799765
267,150.0,149.224250226,171.170149558,11.7121633162,11.2981836553,27.2707676377
268,150.0,142.524948443,162.150243902,15.7143629263,8.60185906791,26.8953895157
269,150.0,148.896307402,163.319756574,14.771070425,12.9267377117,24.8867422867
270,146.473643116,150.0,172.479381187,8.97868140479,12.4197567293,27.5968233708
271,150.0,150.0,162.700490698,13.2112907537,13.9731416525,25.8857433614
272,142.260575287,150.0,160.057138837,9.17013987901,14.9278793146,27.6927761188
273,146.258766423,150.0,186.209607473,5.38705207161,7.17730234209,29.9958453169
274,150.0,139.934739403,170.841087166,14.4372357305,4.95310275088,27.9809446691
275,139.306606246,150.0,196.263510846,0.220368000243,6.27434297471,29.957712992
276,145.984523634,150.0,175.156157036,6.84652128835,11.1680538688,28.9775708023
277,150.0,144.656114894,158.151973554,16.257499793,11.7534133908,25.4387040158
278,148.575559814,150.0,158.23362432,13.940143239,15.3283126664,24.7029578097
279,150.0,150.0,184.471068808,8.9702877553,7.19231117572,29.1786690368
280,150.0,149.922765141,165.770580203,13.2037053323,11.1846742583,27.3577981714
281,150.0,140.361497996,166.082787426,14.3814906167,7.58002860253,27.4658077258
282,142.422324083,150.0,164.764482406,7.97974686269,15.7318355888,26.6689756606
283,149.865706414,150.0,168.431513006,11.8399156514,11.3842335644,27.719596917
284,144.958177108,150.0,173.590035221,7.2946125616,9.48759380408,29.7885062577
285,150.0,143.671934566,163.958844256,15.5225069096,8.25465617457,27.1502881526
286,150.0,143.166038395,166.767950537,14.8201918156,7.27827594451,27.602789894
287,144.837081495,150.0,165.631849946,9.75414391254,15.5342384189,25.75783815
288,150.0,144.146912716,163.682144866,14.9784129207,9.11246138422,27.0259329069
289,150.0,147.98064834,176.725774047,9.52075384787,8.70514029514,28.9606836372
290,150.0,150.0,167.956964852,12.1607338485,12.6802425266,26.5411134699
291,150.0,145.888847207,165.667324105,13.7083650285,10.5750836661,27.0689183247
292,150.0,144.16504642,178.139617387,10.8862203962,5.84293602142,29.0587546639
293,145.448136007,149.892245385,215.689125076,-1.43897227357,2.30154320385,30.1691229027
294,150.0,138.581484505,166.703946305,14.4450268846,5.29716199834,28.2666242345
295,150.0,146.820995292,159.785070082,15.3775240558,12.1124894107,25.715302183
296,150.0,150.0,160.327451027,13.4668972259,14.320723162,25.7176223287
297,144.954622104,150.0,173.15391191,7.73100342005,11.7048551551,28.559301665
298,150.0,142.15061543,165.268859378,13.6691944117,7.47377371989,28.5916825417
299,144.95481175,150.0,173.375975415,6.79957278572,10.9345834339,29.2042603823
300,150.0,150.0,165.589424642,12.279007858,12.7904064636,26.8590888551
301,150.0,148.688632605,166.389275723,13.1062422511,11.5725517862,26.8886859346
302,150.0,148.21945343,171.726046706,12.1305114771,8.99090828815,28.2660625225
303,150.0,143.903835923,173.78824406,12.7360919094,6.73383094156,28.4031368147
304,150.0,148.556327504,166.46725964,13.7454707253,11.432011681,26.2515354202
305,147.463091346,150.0,167.359471927,10.4530790146,12.8255970397,27.3815176999
306,150.0,144.260297528,173.590623675,12.1033611471,7.43217697415,28.3250118111
307,150.0,150.0,153.890064578,15.6089280422,15.9278825575,23.9857978702
